Report Date,FIPS,Locality,Health District,Total Cases,Population 2010,Population 2019 (Estimate)
4/1/20,51153,Prince William,Prince William,106,23584,26016
4/1/20,51107,Loudoun,Loudoun,105,23584,26016
4/1/20,51810,Virginia Beach,Virginia Beach,88,23584,26016
4/1/20,51710,Norfolk,Norfolk,33,23584,26016
4/1/20,51760,Richmond City,Richmond,33,23584,26016
4/1/20,51095,James City,Peninsula,95,67009,75907
4/1/20,51510,Alexandria,Alexandria,32,23584,26016
4/1/20,51550,Chesapeake,Chesapeake,31,23584,26016
4/1/20,51700,Newport News,Peninsula,29,23584,26016
4/1/20,51179,Stafford,Rappahannock,28,23584,26016
4/1/20,51199,York,Peninsula,16,23584,26016
4/1/20,51540,Charlottesville,Thomas Jefferson,16,23584,26016
4/1/20,51650,Hampton,Hampton,14,23584,26016
4/1/20,51740,Portsmouth,Portsmouth,13,23584,26016
4/1/20,51013,Arlington,Arlington,119,207627,242152
4/1/20,51109,Louisa,Thomas Jefferson,11,23584,26016
4/1/20,51660,Harrisonburg,Central Shenandoah,10,23584,26016
4/1/20,51165,Rockingham,Central Shenandoah,9,23584,26016
4/1/20,51830,Williamsburg,Peninsula,9,23584,26016
4/1/20,51683,Manassas City,Prince William,9,23584,26016
4/1/20,51149,Prince George,Crater,8,23584,26016
4/1/20,51171,Shenandoah,Lord Fairfax,8,23584,26016
4/1/20,51177,Spotsylvania,Rappahannock,8,23584,26016
4/1/20,51075,Goochland,Chickahominy,7,21717,23472
4/1/20,51036,Charles City,Chickahominy,2,7256,7016
4/1/20,51680,Lynchburg,Central Virginia,7,23584,26016
4/1/20,51081,Greensville,Crater,3,12243,11408
4/1/20,51059,Fairfax,Fairfax,288,1081699,1143528
4/1/20,51087,Henrico,Henrico,78,306935,328999
4/1/20,51770,Roanoke City,Roanoke,6,23584,26016
4/1/20,51800,Suffolk,Western Tidewater,6,23584,26016
4/1/20,51073,Gloucester,Three Rivers,8,36858,37090
